,Country,Coffee type,1990/91(P),1990/91(C),1991/92(P),1991/92(C),1992/93(P),1992/93(C),1993/94(P),1993/94(C),1994/95(P),1994/95(C),1995/96(P),1995/96(C),1996/97(P),1996/97(C),1997/98(P),1997/98(C),1998/99(P),1998/99(C),1999/00(P),1999/00(C),2000/01(P),2000/01(C),2001/02(P),2001/02(C),2002/03(P),2002/03(C),2003/04(P),2003/04(C),2004/05(P),2004/05(C),2005/06(P),2005/06(C),2006/07(P),2006/07(C),2007/08(P),2007/08(C),2008/09(P),2008/09(C),2009/10(P),2009/10(C),2010/11(P),2010/11(C),2011/12(P),2011/12(C),2012/13(P),2012/13(C),2013/14(P),2013/14(C),2014/15(P),2014/15(C),2015/16(P),2015/16(C),2016/17(P),2016/17(C),2017/18(P),2017/18(C),2018/19(P),2018/19(C),2019/20(P),2019/20(C),Total_production(P),Total_domestic_consumption(C)
0,Angola,Robusta/Arabica,3000,1200,4740,1800,4680,2100,1980,1200,4620,1500,3720,600,4260,1200,3840,2400,5100,1800,3300,1200,3000,1200,1260,1200,3420,1200,2280,900,900,900,1500,900,2100,1800,2160,1800,2280,1800,780,1800,2100,1800,1740,1800,1980,1800,2100,1800,2340,1800,2460,1800,2700,1800,2100,1800,2520,1800,3120,1800,82080,46500
1,Bolivia (Plurinational State of),Arabica,7380,1500,6240,1620,7200,1650,3060,1710,7020,1770,8520,1830,7500,1890,8460,1950,8280,1980,9480,2040,8880,2100,5640,2190,7620,2250,6180,2310,9300,2700,6600,2460,8760,2520,6960,2610,7200,2700,7680,2760,7020,2850,7920,2940,6300,3030,7200,3120,6000,3210,5040,3300,4680,3420,5040,3510,4980,3600,4860,3660,207000,75180
2,Brazil,Arabica/Robusta,1637160,492000,1637580,510000,2076180,534000,1690020,546000,1691520,558000,1083600,606000,1751820,660000,1568880,690000,2205660,732000,2854680,762000,1878600,792000,1881900,815400,2901120,825000,1732380,852000,2356860,896760,1975980,932280,2905920,979860,2334660,1026600,3089460,1059600,2638620,1103400,3325680,1147920,2915520,1183200,3325080,1219800,3281340,1205100,3198300,1219980,3172260,1230480,3407280,1273500,3164400,1319820,3907860,1332000,3492660,1320000,75082980,27824700
3,Burundi,Arabica/Robusta,29220,120,40020,96,37200,102,23580,114,39840,120,26040,120,24060,120,15000,120,29520,120,21060,120,29220,120,8640,120,27240,120,20280,120,26220,120,6180,114,29880,93,7980,81,24720,86,6720,83,21180,120,12240,120,24360,120,9780,120,14880,120,16140,120,11760,120,12120,120,12240,120,16320,120,623640,3409
4,Ecuador,Arabica/Robusta,90240,21000,127440,21000,71100,21000,124140,21000,142560,21000,113280,21000,119580,18000,71460,18000,72360,18000,71880,13800,51240,12000,47580,12000,34920,9000,38460,9000,46800,9000,56100,9000,62100,9000,57000,9000,46260,9000,48780,9000,51240,9000,49500,9000,49680,9000,39960,9300,38640,9300,38640,9300,38700,9300,37440,9300,29760,9300,33540,8940,1900380,381540
5,Indonesia,Robusta/Arabica,446460,74520,509580,76800,334140,79140,404580,81540,322080,84000,274380,86580,493260,89160,457260,91920,437760,94680,393420,97560,419220,100560,409980,120000,403860,106740,384240,109980,452160,120000,549540,150000,448980,169980,466620,199980,576720,199980,682800,199980,547740,199980,413340,220020,784200,234000,774060,255000,656760,265020,755100,273000,692460,279000,651120,285000,577080,288000,685980,288360,15404880,4920480
6,Madagascar,Robusta,58920,21000,55980,18000,67320,21000,26520,21600,38460,9999,47100,10020,50940,10020,37440,10020,59520,10020,25620,3360,21720,5346,8820,7680,26700,13020,26100,19980,31320,28020,35940,28020,35220,28020,36840,28020,43680,28020,27420,28020,31800,28020,35100,27000,30000,25800,35040,24600,30060,23400,24840,22200,27180,21600,24240,21900,22740,22500,22980,22500,1045560,588705
7,Malawi,Arabica,6300,120,7440,120,8220,120,3720,120,5040,120,5460,120,2940,120,3660,120,3840,120,3540,60,3780,60,3600,60,2520,60,2880,60,1260,60,1440,60,1020,60,1140,60,1260,60,1020,60,1020,60,1560,60,1380,60,1680,60,1500,60,1260,60,1200,60,840,60,780,60,960,60,82260,2340
8,Papua New Guinea,Arabica/Robusta,57780,180,44820,180,54000,180,61140,120,68340,120,60120,120,65340,120,64440,120,81120,60,83220,120,62460,120,63780,120,65100,120,69300,120,59880,120,76080,120,48420,120,58080,120,61680,120,62280,120,52020,85,84840,74,42960,102,50100,122,47880,115,42720,108,70260,120,44040,120,55800,120,45120,120,1803120,3606
9,Paraguay,Arabica,7860,900,4800,900,3240,900,4020,1200,1500,1200,1560,1200,1860,1200,2940,1200,1920,1200,1140,1200,1320,1200,1320,1200,2160,1200,2820,1200,2280,1200,2640,1200,2100,1200,2340,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,62220,35100
10,Peru,Arabica,56220,11400,72000,11400,105720,12000,39900,12000,70740,12000,112260,12000,108360,12000,115800,12000,126120,12000,164640,12000,160560,12000,169740,12000,180000,13200,161160,13200,205500,13200,149340,13200,259140,13200,183780,13200,232320,15000,197160,15000,244140,15000,322380,15000,267000,15000,246360,15000,172980,15000,198240,15000,253380,15000,256740,15000,255780,15000,230160,15000,5317620,402000
11,Rwanda,Arabica,32100,60,29040,60,38340,60,26640,60,1320,60,19740,60,17580,60,11580,180,13380,180,18420,120,16380,120,17760,120,19200,19,15960,19,27000,60,20220,60,21060,60,13440,60,22140,60,15540,60,19380,60,15060,60,15540,60,15480,60,14280,60,17580,60,13860,60,15840,60,22800,60,20880,60,567540,2138
12,Timor-Leste,Arabica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,1980,0,2220,0,2520,0,1020,0,1440,0,2760,0,2160,0,2880,0,2820,0,3600,29,2820,29,3660,29,4800,29,6660,29,3540,29,4920,29,3900,29,8340,29,6180,29,68640,290
13,Zimbabwe,Arabica,15120,480,12060,480,4680,480,720,499,6360,499,7860,396,10440,240,7800,240,8940,240,7500,240,6540,240,7260,240,6600,240,5520,240,7200,240,3960,240,2700,240,1860,240,1440,240,1260,240,600,240,540,240,420,240,540,240,900,240,840,240,900,240,420,240,600,240,540,240,132120,8594
14,Congo,Robusta,180,180,180,160,180,160,180,180,480,180,720,180,840,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,6900,5360
15,Cuba,Arabica,24840,12780,18120,12780,17040,11700,17100,11646,17040,11640,17100,11640,21960,11340,18000,11700,16800,12000,19680,12000,18720,12780,17100,13200,14340,13440,13440,13440,10800,13440,6000,13440,6300,13440,6600,13440,7980,13200,5520,13200,6480,13200,6000,13200,5280,13200,6420,13200,6060,13200,6000,13200,6180,13200,6780,13200,7680,13200,7800,12960,359160,384006
16,Dominican Republic,Arabica/Robusta,52800,19200,19260,19200,38280,19200,36240,19200,43800,19800,53160,21000,31140,19500,56460,19500,29220,19500,36420,19500,28020,19500,23220,20411,27300,20411,21060,20400,29460,22679,18600,22679,23220,22679,27900,22680,38700,22680,21120,22680,22680,22680,29460,22680,29280,22680,25500,22999,23820,23280,24000,23280,24720,23400,24720,23400,25860,23400,24120,22620,909540,642818
17,Haiti,Arabica,23580,13200,27780,19800,30000,19800,27060,19800,27000,19800,30840,19800,25680,19800,25920,19800,26340,19800,23940,20400,25200,20400,24180,20400,22440,20400,22440,20400,21900,20400,21360,20400,21720,20400,21540,20400,21540,20400,21060,20400,21000,20400,20940,20400,21000,20400,20700,20400,20580,20400,20460,20400,20520,20400,20520,20400,20820,20700,20820,20700,698880,600600
18,Philippines,Robusta/Arabica,58440,43200,61080,45000,55200,45000,52500,46200,52620,47400,51000,48600,53400,49860,56100,51180,40620,48600,37320,51720,20460,49200,15780,49260,15300,49740,17580,55020,21300,61200,25920,62400,26460,63600,26760,63600,35220,103200,43800,109200,11340,127500,10800,130500,10620,139500,11160,153000,11580,168000,12480,180000,12900,181800,12180,190800,12360,198000,18420,195000,890700,2807280
19,Tanzania,Arabica/Robusta,55920,240,47400,210,47160,1152,44040,1050,40740,1050,53820,816,45840,996,37440,1020,44340,1020,50520,840,48540,900,37440,900,49440,900,36720,1620,45780,2220,48240,2820,49320,2820,48600,2820,71160,2820,40500,2820,50760,2820,38460,3537,69060,4302,48660,4408,45180,4603,55800,5523,50760,5478,46980,5500,70500,5520,55560,5700,1474680,76425
20,Zambia,Arabica,1380,90,1740,90,1740,85,1620,60,1260,90,1560,36,1980,60,2280,36,3720,36,3540,36,5580,36,6000,36,7140,36,6000,36,6600,36,6180,36,3360,36,3660,60,2100,60,1680,0,780,0,660,0,300,0,660,0,180,0,240,0,780,0,1140,0,2040,0,900,0,76800,991
21,Cameroon,Robusta/Arabica,100920,4998,103560,4999,15600,4999,40980,6000,24360,6000,39600,6000,85920,6000,53340,6000,66840,6000,82200,6000,66780,4500,41160,4140,48060,4140,54000,4140,43620,4140,52200,4140,49080,4140,47700,4140,43500,4140,54120,4140,31620,4099,40140,4201,22260,4303,24240,4408,28980,4519,23460,4560,17520,4620,22200,4680,18600,4680,16080,4620,1358640,143446
22,Central African Republic,Robusta,10500,1680,7500,1680,8040,1680,9960,1500,15000,900,6480,600,12480,600,6840,600,12900,1140,14460,1260,6780,180,4080,180,5520,227,2580,227,1740,180,1380,180,6840,180,2580,199,3600,300,6720,499,4680,600,5460,799,1380,1000,5400,1200,3780,1200,6000,1200,2220,1200,3600,1200,2220,1200,3300,1200,184020,24791
23,Colombia,Arabica,863760,74100,1078800,76140,896820,78180,685320,80340,777840,82500,776280,81540,646740,80580,727320,79680,652080,78720,570720,77820,631140,76920,717000,76020,702720,75120,663180,74220,685740,73380,717120,72540,729840,71677,750900,76855,519840,77430,485880,76468,511380,78661,459180,86103,595620,90854,727440,97021,799980,99927,840540,103222,878040,104186,829440,107596,831960,107484,846000,121486,21598620,2536770
