Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude
Angola,1990,50.345,84.35,20.0,210.0,,,,,Brazilan Naturals,,AO,-11.202691999999999,17.873887
Angola,1990,50.345,84.35,20.0,210.0,,,,,Robustas,85.6569,AO,-11.202691999999999,17.873887
Bolivia (Plurinational State of),1990,122.777,156.442,25.0,54.0,,,,,Other Milds,51.7802,,,
Brazil,1990,27285.6286,16935.7876003,8200.0,26926.0,,,,,Brazilan Naturals,54.3248,BR,-14.235004,-51.92528
Brazil,1990,27285.6286,16935.7876003,8200.0,26926.0,,,,,Robustas,34.8486,BR,-14.235004,-51.92528
Burundi,1990,487.393,584.773,2.0,77.0,,,,,Other Milds,58.0195,BI,-3.3730559999999996,29.918885999999997
Burundi,1990,487.393,584.773,2.0,77.0,,,,,Robustas,,BI,-3.3730559999999996,29.918885999999997
Ecuador,1990,1503.815,1783.7159997,350.0,723.963,,,,,Other Milds,35.2113,EC,-1.8312389999999998,-78.183406
Ecuador,1990,1503.815,1783.7159997,350.0,723.963,,,,,Robustas,19.0602,EC,-1.8312389999999998,-78.183406
Indonesia,1990,7441.383,6903.2269994,1242.0,1319.0,,,,,Brazilan Naturals,,ID,-0.789275,113.921327
Indonesia,1990,7441.383,6903.2269994,1242.0,1319.0,,,,,Robustas,29.6807,ID,-0.789275,113.921327
Madagascar,1990,982.447,863.0399999,350.0,544.0,,,,,Other Milds,,MG,-18.766947000000002,46.869107
Madagascar,1990,982.447,863.0399999,350.0,544.0,,,,,Robustas,32.4545,MG,-18.766947000000002,46.869107
Malawi,1990,104.628,124.154,2.0,20.0,,,,,Other Milds,84.873,MW,-13.254307999999998,34.301525
Papua New Guinea,1990,962.841,1050.719,3.0,199.0,,,,,Other Milds,65.5004,PG,-6.314993,143.95555
Papua New Guinea,1990,962.841,1050.719,3.0,199.0,,,,,Robustas,26.5984,PG,-6.314993,143.95555
Peru,1990,936.632,1105.078,190.0,318.0,,,,,Other Milds,90.3729,PE,-9.189967,-75.015152
Rwanda,1990,534.875,779.15,1.0,134.0,,,,,Other Milds,74.2047,RW,-1.940278,29.873888
Zimbabwe,1990,251.901,250.772,8.0,160.0,,,,,Other Milds,,ZW,-19.015438,29.154857
Congo,1990,2.924,1.68,3.0,12.0,,,,,Robustas,19.2087,,,
Cuba,1990,414.212,181.7789999,213.0,265.7,,,,,Other Milds,171.4282,CU,21.521757,-77.78116700000001
Dominican Republic,1990,880.062,535.207,320.0,560.0,,,,,Other Milds,66.055,DO,18.735692999999998,-70.162651
Haiti,1990,392.88,191.445,220.0,47.0,,,,,Other Milds,41.2845,HT,18.971187,-72.28521500000001
Philippines,1990,973.632,168.282001,720.0,1223.0,,,,,Brazilan Naturals,,PH,12.879721,121.77401699999999
Philippines,1990,973.632,168.282001,720.0,1223.0,,,,,Robustas,34.2253,PH,12.879721,121.77401699999999
Tanzania,1990,931.779,1019.0519998,4.0,450.0,,,,,Colombian Milds,40.8183,TZ,-6.369028,34.888822
Tanzania,1990,931.779,1019.0519998,4.0,450.0,,,,,Robustas,17.007,TZ,-6.369028,34.888822
Zambia,1990,22.686,24.36,1.5,1.0,,,,,Other Milds,89.7541,ZM,-13.133897,27.849332
Cameroon,1990,1682.484,2611.2590004,83.3,1344.0,,,,,Other Milds,32.2852,CM,7.369722,12.354722
Cameroon,1990,1682.484,2611.2590004,83.3,1344.0,,,,,Robustas,28.3337,CM,7.369722,12.354722
Central African Republic,1990,175.274,196.698,28.0,55.0,,,,,Robustas,36.7471,CF,6.611111,20.939444
Colombia,1990,14396.0,13943.8700004,1235.0,3720.797,,,,,Colombian Milds,69.523,CO,4.570868,-74.297333
Costa Rica,1990,2561.885,2265.644,375.0,343.0,,,,,Other Milds,58.4893,CR,9.748917,-83.753428
Côte d'Ivoire,1990,2940.363,4282.8659998,50.0,4796.0,,,,,Robustas,33.4064,CI,7.539989,-5.54708
Democratic Republic of Congo,1990,1580.296,1838.636,200.0,116.0,,,,,Other Milds,,,,
Democratic Republic of Congo,1990,1580.296,1838.636,200.0,116.0,,,,,Robustas,4.5201,,,
El Salvador,1990,2464.864,2509.873,180.0,245.0,,,,,Other Milds,50.5636,SV,13.794185,-88.89653
Ethiopia,1990,2909.451,1074.101,1200.0,2800.0,,,,,Brazilan Naturals,61.09,ET,9.145,40.489672999999996
Gabon,1990,3.408,2.314,1.7,2.0,,,,,Robustas,43.4284,GA,-0.803689,11.609444
Ghana,1990,37.855,10.865,17.0,4.0,,,,,Robustas,,GH,7.946527000000001,-1.0231940000000002
Guatemala,1990,3270.529,3240.141,300.0,77.0,,,,,Other Milds,54.5845,GT,15.783470999999999,-90.23075899999999
Guinea,1990,44.46,121.696,25.0,45.0,,,,,Robustas,34.3722,GN,9.945587,-9.696645
Honduras,1990,1567.958,1735.093,188.154,101.198,,,,,Other Milds,50.3496,HN,15.199998999999998,-86.241905
India,1990,2828.687,1979.1479994,903.0,842.0,,,,,Other Milds,66.7522,IN,20.593684,78.96288
India,1990,2828.687,1979.1479994,903.0,842.0,,,,,Robustas,44.3451,IN,20.593684,78.96288
Jamaica,1990,22.574,14.9839996,7.0,0.0,,,,,Other Milds,171.5513,JM,18.109581,-77.297508
Kenya,1990,1485.135,1969.338,50.0,766.333,,,,,Colombian Milds,60.5721,KE,-0.023559,37.906193
Liberia,1990,3.0,22.411,3.0,0.0,,,,,Robustas,,LR,6.4280550000000005,-9.429499
Mexico,1990,4674.245,3683.1040021,1374.0,974.0,,,,,Other Milds,79.5617,MX,23.634501,-102.552784
Nicaragua,1990,461.078,671.1839999,34.0,56.0,,,,,Other Milds,,NI,12.865416,-85.207229
Nigeria,1990,29.19,3.582,27.5,0.0,,,,,Robustas,70.5228,NG,9.081999,8.675277000000001
Panama,1990,214.987,131.654,63.0,18.0,,,,,Other Milds,49.304,PA,8.537981,-80.782127
Sierra Leone,1990,42.783,139.744,9.0,127.0,,,,,Robustas,26.1686,SL,8.460555000000001,-11.779889
Sri Lanka,1990,95.87,19.137,66.667,10.0,,,,,Other Milds,,LK,7.873054,80.77179699999999
Sri Lanka,1990,95.87,19.137,66.667,10.0,,,,,Robustas,26.8959,LK,7.873054,80.77179699999999
Thailand,1990,757.017,1001.4349995,188.0,71.0,,,,,Brazilan Naturals,,TH,15.870032,100.992541
Thailand,1990,757.017,1001.4349995,188.0,71.0,,,,,Robustas,37.7181,TH,15.870032,100.992541
Togo,1990,161.308,238.838,1.0,59.0,,,,,Robustas,29.2306,TG,8.619543,0.824782
Trinidad & Tobago,1990,14.581,30.2319997,8.0,5.0,,,,,Robustas,62.5882,,,
Uganda,1990,1955.009,2352.68,70.0,3100.0,,,,,Other Milds,15.2932,UG,1.373333,32.290275
Uganda,1990,1955.009,2352.68,70.0,3100.0,,,,,Robustas,7.5418,UG,1.373333,32.290275
Venezuela,1990,1122.477,277.795,782.39,142.0,,,,,Other Milds,,VE,6.42375,-66.58973
Viet Nam,1990,1310.288,1145.2340014,150.0,181.0,,,,,Brazilan Naturals,,,,
Viet Nam,1990,1310.288,1145.2340014,150.0,181.0,,,,,Robustas,36.9183,,,
Angola,1991,79.331,70.501,30.0,161.0,,,,,Brazilan Naturals,,AO,-11.202691999999999,17.873887
Angola,1991,79.331,70.501,30.0,161.0,,,,,Robustas,91.1153,AO,-11.202691999999999,17.873887
Bolivia (Plurinational State of),1991,103.536,73.523,27.0,39.8,,,,,Other Milds,52.423,,,
Brazil,1991,27293.4934,21182.7614023,8500.0,25548.0,,,,,Brazilan Naturals,43.9931,BR,-14.235004,-51.92528
Brazil,1991,27293.4934,21182.7614023,8500.0,25548.0,,,,,Robustas,27.4947,BR,-14.235004,-51.92528
Burundi,1991,667.199,687.851,1.6,150.0,,,,,Other Milds,55.0206,BI,-3.3730559999999996,29.918885999999997
Burundi,1991,667.199,687.851,1.6,150.0,,,,,Robustas,,BI,-3.3730559999999996,29.918885999999997
Ecuador,1991,2123.824,1416.3839994,350.0,250.0,,,,,Other Milds,36.1803,EC,-1.8312389999999998,-78.183406
Ecuador,1991,2123.824,1416.3839994,350.0,250.0,,,,,Robustas,17.8351,EC,-1.8312389999999998,-78.183406
Indonesia,1991,8493.196,6170.7960001,1280.0,798.0,,,,,Brazilan Naturals,,ID,-0.789275,113.921327
Indonesia,1991,8493.196,6170.7960001,1280.0,798.0,,,,,Robustas,29.9209,ID,-0.789275,113.921327
Madagascar,1991,932.513,587.658,300.0,450.0,,,,,Other Milds,,MG,-18.766947000000002,46.869107
Madagascar,1991,932.513,587.658,300.0,450.0,,,,,Robustas,22.7618,MG,-18.766947000000002,46.869107
Malawi,1991,124.286,99.535,2.0,19.0,,,,,Other Milds,70.9354,MW,-13.254307999999998,34.301525
Papua New Guinea,1991,746.816,788.3529999,3.0,146.0,,,,,Other Milds,64.5333,PG,-6.314993,143.95555
Papua New Guinea,1991,746.816,788.3529999,3.0,146.0,,,,,Robustas,29.4778,PG,-6.314993,143.95555
Peru,1991,1200.474,1041.8670001,190.0,61.0,,,,,Other Milds,,PE,-9.189967,-75.015152
Rwanda,1991,483.83,473.98,1.0,9.0,,,,,Other Milds,50.3764,RW,-1.940278,29.873888
Zimbabwe,1991,201.394,239.324,8.0,118.2,,,,,Other Milds,,ZW,-19.015438,29.154857
